,Tweet,Sarcasm (yes/no)
781,"Oh great, another this movie. Just what I needed.",yes
782,"vegetarians are so wonderful, said no one ever.",yes
783,my new phone are truly inspiring.,no
784,"Oh great, another scientists. Just what I needed.",yes
785,Had a great time with artists.,no
786,the game are truly inspiring.,no
787,I genuinely love engineers.,no
788,"Everyone loves the concert, right?",yes
789,the workshop are truly inspiring.,no
790,"the game are so wonderful, said no one ever.",yes
791,Can't wait for more of vegetarians.,no
792,I am always excited for writers.,no
793,"Had a doctors, best experience ever. Not.",yes
794,this book are truly inspiring.,no
795,Had a great time with the meal.,no
796,Nothing better than a the meal moment.,yes
797,Because musicians really make everything better.,yes
798,the meal are genuinely amazing.,no
799,"athletes are so wonderful, said no one ever.",yes
800,I just love when doctors happens.,yes
801,this book are genuinely amazing.,no
802,Can't wait for more of artists.,yes
803,Because the game really make everything better.,yes
804,Because artists really make everything better.,yes
805,Because vegetarians really make everything better.,yes
806,"Oh great, another doctors. Just what I needed.",yes
807,I find engineers to be wonderful.,no
808,musicians are genuinely amazing.,no
809,the game are truly inspiring.,no
810,I genuinely love this book.,no
811,the conference are truly inspiring.,no
812,I am always excited for this book.,no
813,scientists are truly inspiring.,no
814,the workshop are truly inspiring.,no
815,athletes are genuinely amazing.,no
816,Because the conference really make everything better.,yes
817,I genuinely love athletes.,no
818,Nothing better than a this book moment.,yes
819,Had a great time with vegetarians.,no
820,I just love when engineers happens.,yes
821,I just love when engineers happens.,yes
822,Because engineers really make everything better.,yes
823,I genuinely love the concert.,no
824,I find athletes to be wonderful.,no
825,I am always excited for this movie.,no
826,Had a great time with this movie.,no
827,"Had a athletes, best experience ever. Not.",yes
828,the workshop are genuinely amazing.,no
829,I just love when artists happens.,yes
830,I genuinely love musicians.,no
831,Can't wait for more of engineers.,no
832,"Everyone loves doctors, right?",yes
833,Nothing better than a the meal moment.,yes
834,Can't wait for more of the workshop.,yes
835,"Everyone loves the game, right?",yes
836,I am always excited for writers.,no
837,"my new phone are so wonderful, said no one ever.",yes
838,"Everyone loves the game, right?",yes
839,"Had a the game, best experience ever. Not.",yes
840,"Everyone loves vegetarians, right?",yes
841,"Had a writers, best experience ever. Not.",yes
842,I genuinely love the game.,no
843,Can't wait for more of the conference.,yes
844,"Had a the game, best experience ever. Not.",yes
845,I genuinely love the concert.,no
846,I genuinely love this book.,no
847,"Had a the meal, best experience ever. Not.",yes
848,I genuinely love writers.,no
849,Because artists really make everything better.,yes
850,vegetarians are genuinely amazing.,no
851,"Had a vegetarians, best experience ever. Not.",yes
852,Had a great time with scientists.,no
853,this book are genuinely amazing.,no
854,I just love when musicians happens.,yes
855,"Oh great, another the game. Just what I needed.",yes
856,vegetarians are truly inspiring.,no
857,I find the conference to be wonderful.,no
858,"the meal are so wonderful, said no one ever.",yes
859,my new phone are genuinely amazing.,no
860,Can't wait for more of the concert.,no
861,"doctors are so wonderful, said no one ever.",yes
862,Because the meal really make everything better.,yes
863,"Everyone loves athletes, right?",yes
864,I just love when scientists happens.,yes
865,Can't wait for more of this book.,no
866,I genuinely love the game.,no
867,"Everyone loves writers, right?",yes
868,Had a great time with this movie.,no
869,I just love when athletes happens.,yes
870,I just love when this movie happens.,yes
871,"Had a this movie, best experience ever. Not.",yes
872,I just love when the meal happens.,yes
873,"Had a this book, best experience ever. Not.",yes
874,the meal are genuinely amazing.,no
875,Can't wait for more of the concert.,no
876,I genuinely love musicians.,no
877,I am always excited for the game.,no
878,I just love when doctors happens.,yes
879,Had a great time with the game.,no
880,"Everyone loves the concert, right?",yes
881,I find the game to be wonderful.,no
882,Can't wait for more of the concert.,yes
883,Nothing better than a the concert moment.,yes
884,Can't wait for more of the workshop.,no
885,"Everyone loves this movie, right?",yes
886,I find the conference to be wonderful.,no
887,artists are truly inspiring.,no
888,Had a great time with musicians.,no
889,scientists are truly inspiring.,no
890,"Had a athletes, best experience ever. Not.",yes
891,I just love when this movie happens.,yes
892,musicians are genuinely amazing.,no
893,I just love when athletes happens.,yes
894,Nothing better than a the meal moment.,yes
895,I am always excited for this movie.,no
896,"Everyone loves writers, right?",yes
897,"Oh great, another writers. Just what I needed.",yes
898,scientists have always been great.,no
899,Can't wait for more of this book.,yes
900,vegetarians have always been great.,no
901,I just love when writers happens.,yes
902,the game are genuinely amazing.,no
903,"Had a the workshop, best experience ever. Not.",yes
904,I find this movie to be wonderful.,no
905,Can't wait for more of this book.,yes
906,Had a great time with this movie.,no
907,Can't wait for more of musicians.,yes
908,artists are genuinely amazing.,no
909,"the workshop are so wonderful, said no one ever.",yes
910,Had a great time with musicians.,no
911,I genuinely love scientists.,no
912,I am always excited for this movie.,no
913,"Oh great, another athletes. Just what I needed.",yes
914,"athletes are so wonderful, said no one ever.",yes
915,I genuinely love artists.,no
916,I genuinely love the workshop.,no
917,"Had a writers, best experience ever. Not.",yes
918,"Had a athletes, best experience ever. Not.",yes
919,this movie have always been great.,no
920,Because scientists really make everything better.,yes
921,Had a great time with artists.,no
922,I am always excited for athletes.,no
923,writers are truly inspiring.,no
924,musicians are truly inspiring.,no
925,Can't wait for more of athletes.,yes
926,Nothing better than a the workshop moment.,yes
927,Can't wait for more of vegetarians.,no
928,my new phone are truly inspiring.,no
929,Had a great time with engineers.,no
930,Can't wait for more of vegetarians.,yes
931,"Had a scientists, best experience ever. Not.",yes
932,"Everyone loves engineers, right?",yes
933,musicians have always been great.,no
934,artists are genuinely amazing.,no
935,I just love when engineers happens.,yes
936,writers are truly inspiring.,no
937,the workshop have always been great.,no
938,Can't wait for more of vegetarians.,no
939,I just love when vegetarians happens.,yes
940,the workshop are genuinely amazing.,no
941,athletes have always been great.,no
942,I just love when the conference happens.,yes
943,"Oh great, another artists. Just what I needed.",yes
944,Had a great time with scientists.,no
945,I genuinely love this movie.,no
946,Nothing better than a the meal moment.,yes
947,Because the game really make everything better.,yes
948,Had a great time with the concert.,no
949,Because this book really make everything better.,yes
950,"Everyone loves doctors, right?",yes
951,"the concert are so wonderful, said no one ever.",yes
952,the game are genuinely amazing.,no
953,"engineers are so wonderful, said no one ever.",yes
954,Because artists really make everything better.,yes
955,I find musicians to be wonderful.,no
956,I genuinely love my new phone.,no
957,Can't wait for more of the workshop.,no
958,"Everyone loves athletes, right?",yes
959,I find the workshop to be wonderful.,no
960,"Oh great, another scientists. Just what I needed.",yes
961,I just love when athletes happens.,yes
962,"Everyone loves the concert, right?",yes
963,Because doctors really make everything better.,yes
964,Because scientists really make everything better.,yes
965,"Had a musicians, best experience ever. Not.",yes
966,"Everyone loves the meal, right?",yes
967,I am always excited for the meal.,no
968,I genuinely love the conference.,no
969,Can't wait for more of the meal.,yes
970,Nothing better than a writers moment.,yes
971,"Oh great, another the meal. Just what I needed.",yes
972,"Oh great, another the meal. Just what I needed.",yes
973,Can't wait for more of the concert.,no
974,"Oh great, another athletes. Just what I needed.",yes
975,artists are truly inspiring.,no
976,Can't wait for more of doctors.,no
977,"Everyone loves scientists, right?",yes
978,"Oh great, another athletes. Just what I needed.",yes
979,musicians have always been great.,no
980,Nothing better than a this movie moment.,yes
981,scientists are genuinely amazing.,no
982,Can't wait for more of musicians.,yes
983,Nothing better than a this book moment.,yes
984,"Everyone loves writers, right?",yes
985,the concert are truly inspiring.,no
